0,iframe
I Want You Stephen Sanchez,https://www.youtube.com/watch?v=fTTcrpvhHqM&pp=ygUaSSBXYW50IFlvdSBTdGVwaGVuIFNhbmNoZXo%3D
Butterflies (Acoustic) Abe Parker,https://www.youtube.com/watch?v=8pHWuJDSIhk&pp=ygUhQnV0dGVyZmxpZXMgKEFjb3VzdGljKSBBYmUgUGFya2Vy
EDIE CELINE (Stripped Version) MAX,https://www.youtube.com/watch?v=5egiSLYfu18&pp=ygUiRURJRSBDRUxJTkUgKFN0cmlwcGVkIFZlcnNpb24pIE1BWA%3D%3D
Ripples (Acoustic) Maximillian,https://www.youtube.com/watch?v=SSSt7Sbn92w&pp=ygUeUmlwcGxlcyAoQWNvdXN0aWMpIE1heGltaWxsaWFu
still that kid (deep down) Yaeow,https://www.youtube.com/watch?v=XB-M14AFLq8&pp=ygUgc3RpbGwgdGhhdCBraWQgKGRlZXAgZG93bikgWWFlb3c%3D
favorite lesson Yaeow,https://www.youtube.com/watch?v=BgqSLRdiQAU&pp=ygUVZmF2b3JpdGUgbGVzc29uIFlhZW93
"This Is How It Feels d4vd, Laufey",https://www.youtube.com/watch?v=KFNfB1-sI3g&pp=ygUhVGhpcyBJcyBIb3cgSXQgRmVlbHMgZDR2ZCwgTGF1ZmV5
The Green (Acoustic ver.) Chris James,https://www.youtube.com/watch?v=CYMuwRFI9K4&pp=ygUlVGhlIEdyZWVuIChBY291c3RpYyB2ZXIuKSBDaHJpcyBKYW1lcw%3D%3D
Stuck Here Without You Yaeow,https://www.youtube.com/watch?v=0avLjrmgc80&pp=ygUcU3R1Y2sgSGVyZSBXaXRob3V0IFlvdSBZYWVvdw%3D%3D
What I Feel Is Love Etham,https://www.youtube.com/watch?v=x5ESDmJOw2Y&pp=ygUZV2hhdCBJIEZlZWwgSXMgTG92ZSBFdGhhbQ%3D%3D
all i need (the distance song) Avery Lynch,https://www.youtube.com/watch?v=AUjyH2RkHyU&pp=ygUqYWxsIGkgbmVlZCAodGhlIGRpc3RhbmNlIHNvbmcpIEF2ZXJ5IEx5bmNo
Everyone Adores You (quiet) Matt Maltese,https://www.youtube.com/watch?v=xO78bGYEMEs&pp=ygUoRXZlcnlvbmUgQWRvcmVzIFlvdSAocXVpZXQpIE1hdHQgTWFsdGVzZQ%3D%3D
Starlight 92914,https://www.youtube.com/watch?v=QDpGJ-sS-5I&pp=ygUPU3RhcmxpZ2h0IDkyOTE0
la la la that’s how it goes (dream edit) HONNE,https://www.youtube.com/watch?v=0ozLw9HXVUQ&pp=ygUwbGEgbGEgbGEgdGhhdOKAmXMgaG93IGl0IGdvZXMgKGRyZWFtIGVkaXQpIEhPTk5F
Tin Lover The Paper Kites,https://www.youtube.com/watch?v=aooRF9Az4Ik&pp=ygUZVGluIExvdmVyIFRoZSBQYXBlciBLaXRlcw%3D%3D
free love (dream edit) HONNE,https://www.youtube.com/watch?v=08-t9C0SHEk&pp=ygUcZnJlZSBsb3ZlIChkcmVhbSBlZGl0KSBIT05ORQ%3D%3D
Love Is (Intro) Gogang (고갱),https://www.youtube.com/watch?v=ec-e5jdh_zI&pp=ygUfTG92ZSBJcyAoSW50cm8pIEdvZ2FuZyAo6rOg6rCxKQ%3D%3D
gone gone gone (dream edit) HONNE,https://www.youtube.com/watch?v=B1RMHumd1wg&pp=ygUhZ29uZSBnb25lIGdvbmUgKGRyZWFtIGVkaXQpIEhPTk5F
million little reasons Oscar Lang,https://www.youtube.com/watch?v=ilZAUXSSk8A&pp=ygUhbWlsbGlvbiBsaXR0bGUgcmVhc29ucyBPc2NhciBMYW5n
Okinawa (오키나와) 92914,https://www.youtube.com/watch?v=KzHOPckFmwc&pp=ygUcT2tpbmF3YSAo7Jik7YKk64KY7JmAKSA5MjkxNA%3D%3D
Remember Sam Ock,https://www.youtube.com/watch?v=TSJdEtRrVh8&pp=ygUQUmVtZW1iZXIgU2FtIE9jaw%3D%3D
one way to tokyo (dream edit) HONNE,https://www.youtube.com/watch?v=hXMbGBK6yVQ&pp=ygUjb25lIHdheSB0byB0b2t5byAoZHJlYW0gZWRpdCkgSE9OTkU%3D
In The Wee Small Hours Of The Morning Joey Stamper,https://www.youtube.com/watch?v=d2_bTtWBtSI&pp=ygUySW4gVGhlIFdlZSBTbWFsbCBIb3VycyBPZiBUaGUgTW9ybmluZyBKb2V5IFN0YW1wZXI%3D
do you want my love? SOLOMON,https://www.youtube.com/watch?v=MHh_RK8_azk&pp=ygUcZG8geW91IHdhbnQgbXkgbG92ZT8gU09MT01PTg%3D%3D
silent Sam Ock,https://www.youtube.com/watch?v=Bo-wgkj7nSc&pp=ygUOc2lsZW50IFNhbSBPY2s%3D
When You Wash Your Hair Matt Maltese,https://www.youtube.com/watch?v=_WEKNKR8KhA&pp=ygUkV2hlbiBZb3UgV2FzaCBZb3VyIEhhaXIgTWF0dCBNYWx0ZXNl
another guy Finding Hope,https://www.youtube.com/watch?v=4xm83Vr6aQM&pp=ygUYYW5vdGhlciBndXkgRmluZGluZyBIb3Bl
Your Night Is My Dream Gogang (고갱),https://www.youtube.com/watch?v=tdCT1nuR3xc&pp=ygUmWW91ciBOaWdodCBJcyBNeSBEcmVhbSBHb2dhbmcgKOqzoOqwsSk%3D
For All You Give (Feat. Lucy Rose) The Paper Kites,https://www.youtube.com/watch?v=UPhwQjsP-Cw&pp=ygUyRm9yIEFsbCBZb3UgR2l2ZSAoRmVhdC4gTHVjeSBSb3NlKSBUaGUgUGFwZXIgS2l0ZXM%3D
yellow lights Finding Hope,https://www.youtube.com/watch?v=rXY2jcAxlSI&pp=ygUaeWVsbG93IGxpZ2h0cyBGaW5kaW5nIEhvcGU%3D
to the moon & back Finding Hope,https://www.youtube.com/watch?v=T9tqTKaRjn0&pp=ygUfdG8gdGhlIG1vb24gJiBiYWNrIEZpbmRpbmcgSG9wZQ%3D%3D
When The World Stopped Moving Lizzy McAlpine,https://www.youtube.com/watch?v=z-Ba_VtSkkY&pp=ygUsV2hlbiBUaGUgV29ybGQgU3RvcHBlZCBNb3ZpbmcgTGl6enkgTWNBbHBpbmU%3D
I Don't Know You At All Lizzy McAlpine,https://www.youtube.com/watch?v=IVEW_Lo-CJ4&pp=ygUmSSBEb24ndCBLbm93IFlvdSBBdCBBbGwgTGl6enkgTWNBbHBpbmU%3D
Angelina Lizzy McAlpine,https://www.youtube.com/watch?v=WNVEb0oUh94&pp=ygUXQW5nZWxpbmEgTGl6enkgTWNBbHBpbmU%3D
Wanderlust ELOISE,https://www.youtube.com/watch?v=ZRFWq1Iv6-M&pp=ygURV2FuZGVybHVzdCBFTE9JU0U%3D
My Little Island Lyn Lapid,https://www.youtube.com/watch?v=syzJeA5v_pk&pp=ygUaTXkgTGl0dGxlIElzbGFuZCBMeW4gTGFwaWQ%3D
In Agreement Lizzy McAlpine,https://www.youtube.com/watch?v=xnemkAxwS5E&pp=ygUbSW4gQWdyZWVtZW50IExpenp5IE1jQWxwaW5l
...What Are We? Lizzy McAlpine,https://www.youtube.com/watch?v=wndzegCOLu0&pp=ygUeLi4uV2hhdCBBcmUgV2U_IExpenp5IE1jQWxwaW5l
When She Loved Me Lyn Lapid,https://www.youtube.com/watch?v=Gkso8tJCMfU&pp=ygUbV2hlbiBTaGUgTG92ZWQgTWUgTHluIExhcGlk
Stupid Lizzy McAlpine,https://www.youtube.com/watch?v=M23iVCGsb0c&pp=ygUVU3R1cGlkIExpenp5IE1jQWxwaW5l
Not Alone Siv Jakobsen,https://www.youtube.com/watch?v=J-MtuMDCF5c&pp=ygUWTm90IEFsb25lIFNpdiBKYWtvYnNlbg%3D%3D
any picture with you Joie Tan,https://www.youtube.com/watch?v=4SWkA_sOcaY&pp=ygUdYW55IHBpY3R1cmUgd2l0aCB5b3UgSm9pZSBUYW4%3D
Jack Rabbit (Live) King Louie & Baby James,https://www.youtube.com/watch?v=3g8zq_UFWMU&pp=ygUqSmFjayBSYWJiaXQgKExpdmUpIEtpbmcgTG91aWUgJiBCYWJ5IEphbWVz
Exhausted chloe moriondo,https://www.youtube.com/watch?v=yMPTxCqGW7c&pp=ygUYRXhoYXVzdGVkIGNobG9lIG1vcmlvbmRv
In What World Lizzy McAlpine,https://www.youtube.com/watch?v=RXEwhrVM_aQ&pp=ygUcSW4gV2hhdCBXb3JsZCBMaXp6eSBNY0FscGluZQ%3D%3D
temporary nothing (revisited) mxmtoon,https://www.youtube.com/watch?v=z2eiCzyVBhE&pp=ygUldGVtcG9yYXJ5IG5vdGhpbmcgKHJldmlzaXRlZCkgbXhtdG9vbg%3D%3D
Bubble Gum Clairo,https://www.youtube.com/watch?v=4ptgVKcTYsE&pp=ygURQnViYmxlIEd1bSBDbGFpcm8%3D
A Soulmate Who Wasn't Meant to Be Jess Benko,https://www.youtube.com/watch?v=xrZdM8kVPtc&pp=ygUsQSBTb3VsbWF0ZSBXaG8gV2Fzbid0IE1lYW50IHRvIEJlIEplc3MgQmVua28%3D
goodbye and godspeed Sarah Kang,https://www.youtube.com/watch?v=X2DJAW22IWo&pp=ygUfZ29vZGJ5ZSBhbmQgZ29kc3BlZWQgU2FyYWggS2FuZw%3D%3D
now i know Sarah Kang,https://www.youtube.com/watch?v=U7wzrCmu_Mw&pp=ygUVbm93IGkga25vdyBTYXJhaCBLYW5n
Spring Ed Sheeran,https://www.youtube.com/watch?v=6Ab4ipca54w&pp=ygURU3ByaW5nIEVkIFNoZWVyYW4%3D
Blue Elina,https://www.youtube.com/watch?v=6278rn2QNd4&pp=ygUKQmx1ZSBFbGluYQ%3D%3D
mountain kiyu,https://www.youtube.com/watch?v=2wrDb1yHCuw&pp=ygUNbW91bnRhaW4ga2l5dQ%3D%3D
Nothing More Than That The Paper Kites,https://www.youtube.com/watch?v=2qTvX2Rp3u4&pp=ygUmTm90aGluZyBNb3JlIFRoYW4gVGhhdCBUaGUgUGFwZXIgS2l0ZXM%3D
i've always loved you Arash Buana,https://www.youtube.com/watch?v=QXO7gOGwSqU&pp=ygUhaSd2ZSBhbHdheXMgbG92ZWQgeW91IEFyYXNoIEJ1YW5h
Another Round Elina,https://www.youtube.com/watch?v=r73zmWppmC4&pp=ygUTQW5vdGhlciBSb3VuZCBFbGluYQ%3D%3D
Only One The Paper Kites,https://www.youtube.com/watch?v=vDj4hlfEHfU&pp=ygUYT25seSBPbmUgVGhlIFBhcGVyIEtpdGVz
Clear Eyes Mokita,https://www.youtube.com/watch?v=4CGa699o3C8&pp=ygURQ2xlYXIgRXllcyBNb2tpdGE%3D
How Elina,https://www.youtube.com/watch?v=19aFXUGyVGU&pp=ygUJSG93IEVsaW5h
"we'll be okay, for today (Feat. Anya Taroreh) Arash Buana",https://www.youtube.com/watch?v=CHAGyzL4Z1Q&pp=ygU5d2UnbGwgYmUgb2theSwgZm9yIHRvZGF5IChGZWF0LiBBbnlhIFRhcm9yZWgpIEFyYXNoIEJ1YW5h
Blossom Porter Robinson,https://www.youtube.com/watch?v=CGsmf_g9kho&pp=ygUXQmxvc3NvbSBQb3J0ZXIgUm9iaW5zb24%3D
"Life We've Built Portair, Emily James",https://www.youtube.com/watch?v=hdbQWMqXHWc&pp=ygUlTGlmZSBXZSd2ZSBCdWlsdCBQb3J0YWlyLCBFbWlseSBKYW1lcw%3D%3D
I'd Like to Know You Walker,https://www.youtube.com/watch?v=u9qbWZwEQKk&pp=ygUbSSdkIExpa2UgdG8gS25vdyBZb3UgV2Fsa2Vy
We Good Jesse Gold,https://www.youtube.com/watch?v=j-6T7G-U_bI&pp=ygUSV2UgR29vZCBKZXNzZSBHb2xk
"Here I Am Again Tommy Walker, The C.A. Worship Band",https://www.youtube.com/watch?v=tvnDQ7zZ3sg&pp=ygUzSGVyZSBJIEFtIEFnYWluIFRvbW15IFdhbGtlciwgVGhlIEMuQS4gV29yc2hpcCBCYW5k
I'll Be Right Here Walker,https://www.youtube.com/watch?v=ppsZmHsbpco&pp=ygUZSSdsbCBCZSBSaWdodCBIZXJlIFdhbGtlcg%3D%3D
"This Bag Mac Ayres, Jack Dine",https://www.youtube.com/watch?v=2bSqqU4Ug1Q&pp=ygUdVGhpcyBCYWcgTWFjIEF5cmVzLCBKYWNrIERpbmU%3D
Good Man Walker,https://www.youtube.com/watch?v=5CjRu2KJ4VA&pp=ygUPR29vZCBNYW4gV2Fsa2Vy
that shit is on you (Explicit Ver.) Walker,https://www.youtube.com/watch?v=TX2da-G7q7g&pp=ygUqdGhhdCBzaGl0IGlzIG9uIHlvdSAoRXhwbGljaXQgVmVyLikgV2Fsa2Vy
Calypso Jackson Lundy,https://www.youtube.com/watch?v=ZpZ24mDqY6A&pp=ygUVQ2FseXBzbyBKYWNrc29uIEx1bmR5
Daisy 체이스 (Chase),https://www.youtube.com/watch?v=giH0sFoo_MQ&pp=ygUXRGFpc3kg7LK07J207IqkIChDaGFzZSk%3D
Waiting on a Friend Walker,https://www.youtube.com/watch?v=iIy1hYlUwMA&pp=ygUaV2FpdGluZyBvbiBhIEZyaWVuZCBXYWxrZXI%3D
Won't Be Here Long Walker,https://www.youtube.com/watch?v=D0zx-8unoLM&pp=ygUZV29uJ3QgQmUgSGVyZSBMb25nIFdhbGtlcg%3D%3D
Walk Talk 오닐 (ONiLL),https://www.youtube.com/watch?v=fRUZI30-THI&pp=ygUYV2FsayBUYWxrIOyYpOuLkCAoT05pTEwp
"Beethoven: Symphony No. 9 in D Minor, Op. 125: 4f. Allegro energico (Live - Remastered 2019) Leonard Bernstein, June Anderson, Sarah Walker, Klaus Konig, Jan-Hendrik Rootering, Members of the Staatskapelle Dresden",https://www.youtube.com/watch?v=6MMmPGafGcY&pp=ygXVAUJlZXRob3ZlbjogU3ltcGhvbnkgTm8uIDkgaW4gRCBNaW5vciwgT3AuIDEyNTogNGYuIEFsbGVncm8gZW5lcmdpY28gKExpdmUgLSBSZW1hc3RlcmVkIDIwMTkpIExlb25hcmQgQmVybnN0ZWluLCBKdW5lIEFuZGVyc29uLCBTYXJhaCBXYWxrZXIsIEtsYXVzIEtvbmlnLCBKYW4tSGVuZHJpayBSb290ZXJpbmcsIE1lbWJlcnMgb2YgdGhlIFN0YWF0c2thcGVsbGUgRHJlc2Rlbg%3D%3D
It's Not (Her Eyes) Walker,https://www.youtube.com/watch?v=ZUAkkklTw84&pp=ygUaSXQncyBOb3QgKEhlciBFeWVzKSBXYWxrZXI%3D
Surf Mac Miller,https://www.youtube.com/watch?v=blYo4WheVgA&pp=ygUPU3VyZiBNYWMgTWlsbGVy
"Without You Walker, Noe Mina",https://www.youtube.com/watch?v=S4yHmZbw1yk&pp=ygUcV2l0aG91dCBZb3UgV2Fsa2VyLCBOb2UgTWluYQ%3D%3D
Unknown (Feat. Conor Albert) Alice Auer,https://www.youtube.com/watch?v=7DyiZQFx8fM&pp=ygUnVW5rbm93biAoRmVhdC4gQ29ub3IgQWxiZXJ0KSBBbGljZSBBdWVy
Not an Apology Walker,https://www.youtube.com/watch?v=xkeA7-y9xfA&pp=ygUVTm90IGFuIEFwb2xvZ3kgV2Fsa2Vy
Just You and I Tom Walker,https://www.youtube.com/watch?v=fS0SyW980YI&pp=ygUZSnVzdCBZb3UgYW5kIEkgVG9tIFdhbGtlcg%3D%3D
"Closer The Silhouettes Project, Elisa Imperilee, Whoeva?",https://www.youtube.com/watch?v=j7Iss5g_ViY&pp=ygU4Q2xvc2VyIFRoZSBTaWxob3VldHRlcyBQcm9qZWN0LCBFbGlzYSBJbXBlcmlsZWUsIFdob2V2YT8%3D
Mr & Mrs Brown Luisa Sobral,https://www.youtube.com/watch?v=mcObpFNvhpw&pp=ygUbTXIgJiBNcnMgQnJvd24gTHVpc2EgU29icmFs
Poppin' Angela Moyra,https://www.youtube.com/watch?v=K_qhLbCNWLM&pp=ygUUUG9wcGluJyBBbmdlbGEgTW95cmE%3D
Nothing More Gabe Bondoc,https://www.youtube.com/watch?v=DmKtPc06iDc&pp=ygUYTm90aGluZyBNb3JlIEdhYmUgQm9uZG9j
It's Love (Feat. Marle Thomson) Anthony Lazaro,https://www.youtube.com/watch?v=lyaI3IFe9s8&pp=ygUuSXQncyBMb3ZlIChGZWF0LiBNYXJsZSBUaG9tc29uKSBBbnRob255IExhemFybw%3D%3D
Treat Me Better Rachael & Vilray,https://www.youtube.com/watch?v=pIvw6PXVItc&pp=ygUgVHJlYXQgTWUgQmV0dGVyIFJhY2hhZWwgJiBWaWxyYXk%3D
Do Friends Fall in Love? Rachael & Vilray,https://www.youtube.com/watch?v=Zpwo0GFY_VA&pp=ygUpRG8gRnJpZW5kcyBGYWxsIGluIExvdmU_IFJhY2hhZWwgJiBWaWxyYXk%3D
Here We Go Again / Fanboi Ardhito Pramono,https://www.youtube.com/watch?v=UD6ehlh0_jM&pp=ygUpSGVyZSBXZSBHbyBBZ2FpbiAvIEZhbmJvaSBBcmRoaXRvIFByYW1vbm8%3D
Hummingbird (Feat. Marle Thomson) Anthony Lazaro,https://www.youtube.com/watch?v=DB6_OhRcbmM&pp=ygUwSHVtbWluZ2JpcmQgKEZlYXQuIE1hcmxlIFRob21zb24pIEFudGhvbnkgTGF6YXJv
Diggin' Me Martin Sexton,https://www.youtube.com/watch?v=9EsiEc9NN1U&pp=ygUYRGlnZ2luJyBNZSBNYXJ0aW4gU2V4dG9u
Loved You First Gabe Bondoc,https://www.youtube.com/watch?v=iQmaOV0MjLM&pp=ygUbTG92ZWQgWW91IEZpcnN0IEdhYmUgQm9uZG9j
Two Sleepy People Carsie Blanton,https://www.youtube.com/watch?v=sS36AXQ9vzo&pp=ygUgVHdvIFNsZWVweSBQZW9wbGUgQ2Fyc2llIEJsYW50b24%3D
Moonlight (Feat. Marle Thomson) Anthony Lazaro,https://www.youtube.com/watch?v=ImyfIuPvwCk&pp=ygUuTW9vbmxpZ2h0IChGZWF0LiBNYXJsZSBUaG9tc29uKSBBbnRob255IExhemFybw%3D%3D
Stronger Than Gabe Bondoc,https://www.youtube.com/watch?v=rAu4DzLQhYI&pp=ygUZU3Ryb25nZXIgVGhhbiBHYWJlIEJvbmRvYw%3D%3D
Happy Talk Diana Panton,https://www.youtube.com/watch?v=kI8eO0znUkY&pp=ygUXSGFwcHkgVGFsayBEaWFuYSBQYW50b24%3D
Do You Want to Know a Secret Mathilda Homer,https://www.youtube.com/watch?v=coG7zoKTdZA&pp=ygUrRG8gWW91IFdhbnQgdG8gS25vdyBhIFNlY3JldCBNYXRoaWxkYSBIb21lcg%3D%3D
catching feelings 4 u Jason LaPierre,https://www.youtube.com/watch?v=86hAs72ymSU&pp=ygUkY2F0Y2hpbmcgZmVlbGluZ3MgNCB1IEphc29uIExhUGllcnJl
Let's Make Love on This Plane (Full Band Version) [Bonus Track] Rachael & Vilray,https://www.youtube.com/watch?v=hEpP13Qz8GM&pp=ygVQTGV0J3MgTWFrZSBMb3ZlIG9uIFRoaXMgUGxhbmUgKEZ1bGwgQmFuZCBWZXJzaW9uKSBbQm9udXMgVHJhY2tdIFJhY2hhZWwgJiBWaWxyYXk%3D
Any Little Time Rachael & Vilray,https://www.youtube.com/watch?v=Hb6vIXSQgL4&pp=ygUgQW55IExpdHRsZSBUaW1lIFJhY2hhZWwgJiBWaWxyYXk%3D
Sunny Days Ginne Marker,https://www.youtube.com/watch?v=fll9QeRIzFI&pp=ygUXU3VubnkgRGF5cyBHaW5uZSBNYXJrZXI%3D
925 Ardhito Pramono,https://www.youtube.com/watch?v=wCiUm5XJ_LY&pp=ygUTOTI1IEFyZGhpdG8gUHJhbW9ubw%3D%3D
Goodnight My Love Rachael & Vilray,https://www.youtube.com/watch?v=m-6nQIcSzXk&pp=ygUiR29vZG5pZ2h0IE15IExvdmUgUmFjaGFlbCAmIFZpbHJheQ%3D%3D
Hate is the Basis (of Love) Rachael & Vilray,https://www.youtube.com/watch?v=1FLs5fogvmw&pp=ygUsSGF0ZSBpcyB0aGUgQmFzaXMgKG9mIExvdmUpIFJhY2hhZWwgJiBWaWxyYXk%3D
find love (Feat. THAMA) Jason Lee (제이슨 리),https://www.youtube.com/watch?v=xM9egyh6bQI&pp=ygUxZmluZCBsb3ZlIChGZWF0LiBUSEFNQSkgSmFzb24gTGVlICjsoJzsnbTsiqgg66asKQ%3D%3D
"wherever u r (ft. V of BTS) UMI, V",https://www.youtube.com/watch?v=LEdNCS8luWE&pp=ygUid2hlcmV2ZXIgdSByIChmdC4gViBvZiBCVFMpIFVNSSwgVg%3D%3D
dinner in bed Gareth.T,https://www.youtube.com/watch?v=kAaDkp3Y4CM&pp=ygUWZGlubmVyIGluIGJlZCBHYXJldGguVA%3D%3D
Slow Dance In The Morning Jesse Gold,https://www.youtube.com/watch?v=j4QWrv-Orzk&pp=ygUkU2xvdyBEYW5jZSBJbiBUaGUgTW9ybmluZyBKZXNzZSBHb2xk
lavender (Feat. Pink Sweat$) JVKE,https://www.youtube.com/watch?v=kBHD7KJcmtQ&pp=ygUhbGF2ZW5kZXIgKEZlYXQuIFBpbmsgU3dlYXQkKSBKVktF
Flower (Piano Version) Johnny Stimson,https://www.youtube.com/watch?v=Y9faB5tXij0&pp=ygUlRmxvd2VyIChQaWFubyBWZXJzaW9uKSBKb2hubnkgU3RpbXNvbg%3D%3D
unrequited SOLOMON,https://www.youtube.com/watch?v=BIFQvc0AYsY&pp=ygUSdW5yZXF1aXRlZCBTT0xPTU9O
"I LOVE YOU (feat. JUNNY, Sam Ock) dress",https://www.youtube.com/watch?v=a4Ul9oq4yzc&pp=ygUnSSBMT1ZFIFlPVSAoZmVhdC4gSlVOTlksIFNhbSBPY2spIGRyZXNz
HEY THAMA,https://www.youtube.com/watch?v=SCnbQOMX2QM&pp=ygUJSEVZIFRIQU1B
Hey Billie 92914,https://www.youtube.com/watch?v=okfvQQuDJb8&pp=ygUQSGV5IEJpbGxpZSA5MjkxNA%3D%3D
Be So Cruel (Stripped) ASTN,https://www.youtube.com/watch?v=CQzeD5G9xs4&pp=ygUbQmUgU28gQ3J1ZWwgKFN0cmlwcGVkKSBBU1RO
Officially Missing You Joseph Solomon,https://www.youtube.com/watch?v=g1Hb8FDs-hA&pp=ygUlT2ZmaWNpYWxseSBNaXNzaW5nIFlvdSBKb3NlcGggU29sb21vbg%3D%3D
How Soon (Stripped Version) ASTN,https://www.youtube.com/watch?v=pG1oGrzuBMo&pp=ygUgSG93IFNvb24gKFN0cmlwcGVkIFZlcnNpb24pIEFTVE4%3D
WANDERLUST Paul Partohap,https://www.youtube.com/watch?v=8jUhrVcGhHA&pp=ygUYV0FOREVSTFVTVCBQYXVsIFBhcnRvaGFw
I Feel Love THAMA,https://www.youtube.com/watch?v=hlhLAmsmHTM&pp=ygURSSBGZWVsIExvdmUgVEhBTUE%3D
Fall 4 U Taiyo Ky,https://www.youtube.com/watch?v=axc6NN570DQ&pp=ygURRmFsbCA0IFUgVGFpeW8gS3k%3D
u & i Anthony Russo,https://www.youtube.com/watch?v=_-zEqJHUDps&pp=ygUTdSAmIGkgQW50aG9ueSBSdXNzbw%3D%3D
Turn Your Lights Down Low Joseph Solomon,https://www.youtube.com/watch?v=SSyRipgc6EE&pp=ygUoVHVybiBZb3VyIExpZ2h0cyBEb3duIExvdyBKb3NlcGggU29sb21vbg%3D%3D
The 1 (Corey's Version) Corey Harper,https://www.youtube.com/watch?v=mB5G1PTfqg4&pp=ygUkVGhlIDEgKENvcmV5J3MgVmVyc2lvbikgQ29yZXkgSGFycGVy
You got me! (Acoustic) 레몬시티(Lemon City),https://www.youtube.com/watch?v=LsvPz6P8FiQ&pp=ygUvWW91IGdvdCBtZSEgKEFjb3VzdGljKSDroIjrqqzsi5zti7AoTGVtb24gQ2l0eSk%3D
Lucky Day Michael Carreon,https://www.youtube.com/watch?v=1SETnlEs9iw&pp=ygUZTHVja3kgRGF5IE1pY2hhZWwgQ2FycmVvbg%3D%3D
melancholy song MIKA(米卡),https://www.youtube.com/watch?v=SXmYKeIE-rw&pp=ygUcbWVsYW5jaG9seSBzb25nIE1JS0Eo57Gz5Y2hKQ%3D%3D
Rainy Day Theme Devin Kennedy,https://www.youtube.com/watch?v=oOW1tqXwbC0&pp=ygUdUmFpbnkgRGF5IFRoZW1lIERldmluIEtlbm5lZHk%3D
My Love Mine All Mine Mitski,https://www.youtube.com/watch?v=vx4kLgnFexo&pp=ygUcTXkgTG92ZSBNaW5lIEFsbCBNaW5lIE1pdHNraQ%3D%3D
Keep Me Novo Amor,https://www.youtube.com/watch?v=cD71pdObpwg&pp=ygURS2VlcCBNZSBOb3ZvIEFtb3I%3D
John Wayne Cigarettes After Sex,https://www.youtube.com/watch?v=M5gjHFmi2Co&pp=ygUfSm9obiBXYXluZSBDaWdhcmV0dGVzIEFmdGVyIFNleA%3D%3D
Sunsetz Cigarettes After Sex,https://www.youtube.com/watch?v=5-rbSNzU_b8&pp=ygUcU3Vuc2V0eiBDaWdhcmV0dGVzIEFmdGVyIFNleA%3D%3D
"No Fun Novo Amor, Gia Margaret",https://www.youtube.com/watch?v=6SVQ7raN9cc&pp=ygUeTm8gRnVuIE5vdm8gQW1vciwgR2lhIE1hcmdhcmV0
you. Oscar Lang,https://www.youtube.com/watch?v=ZorIHeIBQRo&pp=ygUPeW91LiBPc2NhciBMYW5n
Still Feel It All MARO,https://www.youtube.com/watch?v=0V--8Xc3LlM&pp=ygUWU3RpbGwgRmVlbCBJdCBBbGwgTUFSTw%3D%3D
In Tall Buildings Matt Maltese,https://www.youtube.com/watch?v=kc7Itrd2bjQ&pp=ygUeSW4gVGFsbCBCdWlsZGluZ3MgTWF0dCBNYWx0ZXNl
Less and Less Matt Maltese,https://www.youtube.com/watch?v=pQEVcOcYWew&pp=ygUaTGVzcyBhbmQgTGVzcyBNYXR0IE1hbHRlc2U%3D
